A. Há quanto tempo jogas Padel?;Menos de 3 meses;3 a 6 meses;6 meses a 1 ano;1 anos a 3 anos;Mais de 3 anos
B. Já teve aulas de padel?;Péssimo;Mau;Bom;Muito Bom;Excelente
C. Como é a tua forma física?;Baixa;Média;Normal;Alta;Muito alta
D. Como avalias o teu serviço?;Nunca tive;Tive menos de 10 aulas;Entre 10 a 20;Entre 20 a 40;Mais de 40 e treino periodicamente
E. Como avalias a tua resposta ao serviço?;Custa me devolver o serviço, principalmente os serviços rápidos e ao vidro;Respondo a bolas lentas e simples mas os serviços mais potentes tenho dificuldade;Respondo com segurança aos serviços não muito complicados;Respondo com muita seguranla aos serviços com alguma potência;Tenho uma resposta fiável e com direção
F. Como avalias o teu volley?;Quase não subo á rede e não me posiciono bem;Sem segurança na rede, cometo muitos erros na rede;Consigo fazer volley's na rede de direita e esquerda com pouca potência;Posiciono-me bem, consigo colocar bolas baixas e profundas, procurando o erro do adversario;Bom posicionamento de pés, pancadas difíceis com potência e profundidade bem colocadas
G. Como avalias os teus ressaltos?;Não sei ler os ressaltos, tento bater antes de ressaltar;Tento jogar as bolas que v~zo ao vidro apesar de n~zo saber posicionar-me;Controlo os ressaltos a velocidade amena e consigo responder a alguns potentes;Tenho segurança com os ressaltos rápidos e saídas de parede;Boa saida de vidro, com intensidade e potência, ganhando assim pontos
H. Como avalias o teu lob?;Não faço lobs;Tento fazer lobs, sem direção, simplesmente mando só a bola;Tenho algum controlo, tentando colocar lobs compridos/fundos;Tenho segurança e cometo poucos erros;Faço lobs com colocação e com a altura necessária para subir á rede
I. Como avalias a tua pancada de esquerda?;Tento não dar a pancada de esquerda, procurando sempre dar de direita;Realizo a pancada apesar de não fazer bem o movimento nem colocar;Mantenho as trocas de bola, com limitações na potência e colocação;Respondo com segurança, coloco onde quero e devolvo bolas difíceis planas e cortadas;Tenho muita segurança, cometo poucos erros e respondo com grande potência
J. Como avalias a tua pancada de direita?;Tento devolver a bola, dando a pancada por baixo da bola;Não respondo com potência;Tenho segurança mas procuro colocação e com alguma potência;Consigo manter trocas de bolas longas, pancada com potência e colocada;Consigo colocar a bola onde quero, assim como bolas difíceis com pancadas planas e cortadas
